player_id,install_date,activity_date,days_since_install,acquisition_channel,campaign_id,creative_id,country,device_tier,active,matches,revenue_usd
p_000001,2026-02-19,2026-02-19,0,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,2,0.00
p_000001,2026-02-19,2026-02-20,1,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,1,0.00
p_000001,2026-02-19,2026-02-22,3,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,3,0.00
p_000001,2026-02-19,2026-02-25,6,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,4,0.00
p_000001,2026-02-19,2026-02-27,8,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,5,0.00
p_000001,2026-02-19,2026-03-02,11,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,1,0.00
p_000001,2026-02-19,2026-03-03,12,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,1,0.00
p_000001,2026-02-19,2026-03-04,13,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,2,0.00
p_000001,2026-02-19,2026-03-05,14,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,4,0.00
p_000001,2026-02-19,2026-03-07,16,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,2,0.00
p_000001,2026-02-19,2026-03-16,25,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,3,0.00
p_000001,2026-02-19,2026-03-17,26,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,4,0.00
p_000001,2026-02-19,2026-03-22,31,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,2,0.00
p_000001,2026-02-19,2026-03-28,37,Steam Featuring,steam_featuring_1,creative_2,DE,high_end_pc,1,1,0.00
p_000002,2026-01-06,2026-01-06,0,Organic,organic,organic,US,mid_pc,1,0,0.00
p_000002,2026-01-06,2026-01-18,12,Organic,organic,organic,US,mid_pc,1,0,0.00
p_000002,2026-01-06,2026-02-19,44,Organic,organic,organic,US,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-08,0,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-09,1,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-11,3,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-12,4,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-13,5,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-15,7,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-02-17,9,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-03-14,34,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000003,2026-02-08,2026-03-25,45,Google UAC,google_uac_2,creative_4,KR,mid_pc,1,0,0.00
p_000004,2026-02-23,2026-02-23,0,Meta,meta_3,creative_4,BR,mid_pc,1,5,0.00
p_000004,2026-02-23,2026-02-24,1,Meta,meta_3,creative_4,BR,mid_pc,1,2,0.00
p_000004,2026-02-23,2026-02-25,2,Meta,meta_3,creative_4,BR,mid_pc,1,1,0.00
p_000004,2026-02-23,2026-02-26,3,Meta,meta_3,creative_4,BR,mid_pc,1,2,0.00
p_000004,2026-02-23,2026-02-28,5,Meta,meta_3,creative_4,BR,mid_pc,1,4,0.00
p_000004,2026-02-23,2026-03-02,7,Meta,meta_3,creative_4,BR,mid_pc,1,4,0.00
p_000004,2026-02-23,2026-03-04,9,Meta,meta_3,creative_4,BR,mid_pc,1,4,0.00
p_000004,2026-02-23,2026-03-10,15,Meta,meta_3,creative_4,BR,mid_pc,1,4,0.00
p_000004,2026-02-23,2026-03-13,18,Meta,meta_3,creative_4,BR,mid_pc,1,6,0.00
p_000004,2026-02-23,2026-03-20,25,Meta,meta_3,creative_4,BR,mid_pc,1,7,0.00
p_000004,2026-02-23,2026-03-22,27,Meta,meta_3,creative_4,BR,mid_pc,1,8,0.00
p_000004,2026-02-23,2026-03-25,30,Meta,meta_3,creative_4,BR,mid_pc,1,3,0.00
p_000004,2026-02-23,2026-03-26,31,Meta,meta_3,creative_4,BR,mid_pc,1,1,0.00
p_000005,2026-01-03,2026-01-03,0,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000005,2026-01-03,2026-01-07,4,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000005,2026-01-03,2026-01-20,17,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000005,2026-01-03,2026-01-23,20,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000005,2026-01-03,2026-02-28,56,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000005,2026-01-03,2026-03-03,59,Google UAC,google_uac_1,creative_3,DE,high_end_pc,1,0,0.00
p_000006,2026-02-16,2026-02-16,0,Meta,meta_3,creative_6,US,mid_pc,1,3,0.00
p_000006,2026-02-16,2026-02-21,5,Meta,meta_3,creative_6,US,mid_pc,1,3,0.00
