player_id,experiment_id,variant,exposed_date,retained_d7,made_purchase_7d,revenue_7d
p_000001,xp_onboarding_mission_pack,control,2026-02-19,0,0,0.00
p_000002,xp_onboarding_mission_pack,mission_pack,2026-01-06,0,0,0.00
p_000003,xp_onboarding_mission_pack,control,2026-02-08,1,0,0.00
p_000004,xp_onboarding_mission_pack,control,2026-02-23,1,0,0.00
p_000005,xp_onboarding_mission_pack,control,2026-01-03,0,0,0.00
p_000006,xp_onboarding_mission_pack,control,2026-02-16,0,0,0.00
p_000007,xp_onboarding_mission_pack,control,2026-02-09,1,0,0.00
p_000008,xp_onboarding_mission_pack,control,2026-02-24,0,0,0.00
p_000009,xp_onboarding_mission_pack,mission_pack,2026-01-04,0,0,0.00
p_000010,xp_onboarding_mission_pack,mission_pack,2026-01-10,1,0,0.00
p_000011,xp_onboarding_mission_pack,mission_pack,2026-02-17,0,0,0.00
p_000012,xp_onboarding_mission_pack,control,2026-01-20,1,0,0.00
p_000013,xp_onboarding_mission_pack,control,2026-01-24,0,0,0.00
p_000014,xp_onboarding_mission_pack,mission_pack,2026-01-20,1,0,0.00
p_000015,xp_onboarding_mission_pack,control,2026-01-20,0,0,0.00
p_000016,xp_onboarding_mission_pack,control,2026-01-06,0,0,0.00
p_000017,xp_onboarding_mission_pack,mission_pack,2026-02-13,0,0,0.00
p_000018,xp_onboarding_mission_pack,control,2026-01-25,0,0,0.00
p_000019,xp_onboarding_mission_pack,mission_pack,2026-01-27,0,0,0.00
p_000020,xp_onboarding_mission_pack,mission_pack,2026-01-02,1,0,0.00
p_000021,xp_onboarding_mission_pack,control,2026-02-22,0,0,0.00
p_000022,xp_onboarding_mission_pack,control,2026-01-11,1,0,0.00
p_000023,xp_onboarding_mission_pack,mission_pack,2026-02-22,0,0,0.00
p_000024,xp_onboarding_mission_pack,mission_pack,2026-02-05,0,0,0.00
p_000025,xp_onboarding_mission_pack,control,2026-02-19,0,0,0.00
p_000026,xp_onboarding_mission_pack,mission_pack,2026-01-30,0,0,0.00
p_000027,xp_onboarding_mission_pack,control,2026-02-11,1,0,0.00
p_000028,xp_onboarding_mission_pack,mission_pack,2026-01-07,0,0,0.00
p_000029,xp_onboarding_mission_pack,mission_pack,2026-01-31,0,0,0.00
p_000030,xp_onboarding_mission_pack,control,2026-02-09,1,0,0.00
p_000031,xp_onboarding_mission_pack,control,2026-01-27,0,0,0.00
p_000032,xp_onboarding_mission_pack,mission_pack,2026-02-24,1,0,0.00
p_000033,xp_onboarding_mission_pack,control,2026-02-19,0,0,0.00
p_000034,xp_onboarding_mission_pack,mission_pack,2026-02-13,0,0,0.00
p_000035,xp_onboarding_mission_pack,control,2026-02-09,0,0,0.00
p_000036,xp_onboarding_mission_pack,control,2026-01-24,0,0,0.00
p_000037,xp_onboarding_mission_pack,mission_pack,2026-02-02,1,0,0.00
p_000038,xp_onboarding_mission_pack,mission_pack,2026-02-03,1,0,0.00
p_000039,xp_onboarding_mission_pack,mission_pack,2026-02-12,1,0,0.00
p_000040,xp_onboarding_mission_pack,control,2026-02-07,1,0,0.00
p_000041,xp_onboarding_mission_pack,mission_pack,2026-02-23,0,0,0.00
p_000042,xp_onboarding_mission_pack,mission_pack,2026-01-07,0,0,0.00
p_000043,xp_onboarding_mission_pack,mission_pack,2026-01-07,0,0,0.00
p_000044,xp_onboarding_mission_pack,mission_pack,2026-02-13,1,0,0.00
p_000045,xp_onboarding_mission_pack,control,2026-01-16,0,0,0.00
p_000046,xp_onboarding_mission_pack,control,2026-01-04,1,0,0.00
p_000047,xp_onboarding_mission_pack,control,2026-02-11,1,0,0.00
p_000048,xp_onboarding_mission_pack,mission_pack,2026-02-11,0,0,0.00
p_000049,xp_onboarding_mission_pack,mission_pack,2026-02-08,1,0,0.00
p_000050,xp_onboarding_mission_pack,control,2026-01-06,0,0,0.00
p_000051,xp_onboarding_mission_pack,control,2026-02-05,1,0,0.00
p_000052,xp_onboarding_mission_pack,control,2026-01-21,1,0,0.00
p_000053,xp_onboarding_mission_pack,mission_pack,2026-02-18,1,0,0.00
p_000054,xp_onboarding_mission_pack,control,2026-01-22,0,1,4.99
p_000055,xp_onboarding_mission_pack,control,2026-01-02,1,0,0.00
p_000056,xp_onboarding_mission_pack,mission_pack,2026-02-08,0,0,0.00
p_000057,xp_onboarding_mission_pack,mission_pack,2026-01-18,1,0,0.00
p_000058,xp_onboarding_mission_pack,mission_pack,2026-02-18,1,0,0.00
p_000059,xp_onboarding_mission_pack,mission_pack,2026-01-03,0,0,0.00
p_000060,xp_onboarding_mission_pack,control,2026-01-25,0,0,0.00
p_000061,xp_onboarding_mission_pack,mission_pack,2026-01-12,0,0,0.00
p_000062,xp_onboarding_mission_pack,control,2026-01-03,0,0,0.00
p_000063,xp_onboarding_mission_pack,mission_pack,2026-01-07,0,0,0.00
p_000064,xp_onboarding_mission_pack,control,2026-01-11,0,0,0.00
p_000065,xp_onboarding_mission_pack,control,2026-02-12,1,0,0.00
p_000066,xp_onboarding_mission_pack,mission_pack,2026-01-28,0,0,0.00
p_000067,xp_onboarding_mission_pack,mission_pack,2026-02-10,0,0,0.00
p_000068,xp_onboarding_mission_pack,control,2026-01-15,0,0,0.00
p_000069,xp_onboarding_mission_pack,control,2026-02-10,1,0,0.00
p_000070,xp_onboarding_mission_pack,control,2026-02-12,1,0,0.00
p_000071,xp_onboarding_mission_pack,control,2026-02-20,0,0,0.00
p_000072,xp_onboarding_mission_pack,control,2026-01-30,1,0,0.00
p_000073,xp_onboarding_mission_pack,control,2026-01-08,0,0,0.00
p_000074,xp_onboarding_mission_pack,mission_pack,2026-01-23,0,0,0.00
p_000075,xp_onboarding_mission_pack,control,2026-01-21,1,0,0.00
